Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Uchenna Nwosu,,,,,,,,,,,O,,,24.0,OLB,1003598.0,Chargers,2020.0
Troymaine Pope,,,,,,,,D,Q,,,,,27.0,RB,,Chargers,2020.0
Mike Pouncey,O,IR,IR,IR,IR,,,,,,IR,,,,,,Chargers,2020.0
Isaac Rochell,,,,,,,,Q,,,,,,25.0,DE,825000.0,Chargers,2020.0
Tyrod Taylor,,,O,O,O,Q,Q,,,Q,,,,31.0,QB,5000000.0,Chargers,2020.0
Drue Tranquill,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2020.0
Trai Turner,Q,,Q,O,O,O,O,Q,Q,,,,,27.0,OG,8500000.0,Chargers,2020.0
Nick Vigil,,,D,Q,,,,,,,,,,27.0,ILB,1900000.0,Chargers,2020.0
Mike Williams,Q,,,O,Q,,,,,,,,,26.0,WR,825000.0,Chargers,2020.0
Artie Burns,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020.0
Deon Bush,,,,,O,O,Q,,,C19,,,,27.0,FS,1262500.0,Bears,2020.0
DeAndre Carter,,,,,,,,,,,,,C19,,,,Bears,2020.0
Darion Clark,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020.0
Tarik Cohen,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020.0
Rashaad Coward,,,,,,,Q,,,,Q,,,26.0,DT,825000.0,Bears,2020.0
James Daniels,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020.0
Mario Edwards,,,Q,,,,,,,,,,,26.0,DE,910000.0,Bears,2020.0
Nick Foles,,,,,,,,,,,D,,,31.0,QB,4000000.0,Bears,2020.0
Eddie Goldman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020.0
Dwayne Harris,,,,,,,,,,,IR,IR,IR,,,,Bears,2020.0
Akiem Hicks,,,,,,,,,,,Q,,,31.0,DE,10200000.0,Bears,2020.0
Germain Ifedi,Q,,,,,,,,C19,,,,,26.0,OT,910000.0,Bears,2020.0
John Jenkins,,,IR,IR,IR,IR,,,O,O,,,,31.0,DT,1050000.0,Bears,2020.0
Michael Joseph,IR,IR,IR,IR,IR,IR,IR,C19,C19,IR,IR,IR,IR,,,,Bears,2020.0
Jordan Lucas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020.0
Khalil Mack,Q,Q,Q,Q,,,Q,Q,,,,,,29.0,OLB,13300000.0,Bears,2020.0
Bobby Massie,,,,,,,,,IR,IR,IR,IR,IR,,,,Bears,2020.0
Sherrick McManis,,,,D,D,Q,O,Q,,O,Q,,,33.0,DB,1050000.0,Bears,2020.0
Barkevious Mingo,,,,,,,,,,Q,,,,30.0,OLB,1050000.0,Bears,2020.0
David Montgomery,Q,,,,,,,,,O,,,,23.0,RB,684136.0,Bears,2020.0
Darnell Mooney,,,,,Q,,,,,,,,,23.0,WR,610000.0,Bears,2020.0
Sam Mustipher,,,,,,,,,O,D,,,,24.0,C,430584.0,Bears,2020.0
Eddy Pineiro,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020.0
Robert Quinn,D,Q,,,,,,,,,,,,30.0,DE,3000000.0,Bears,2020.0
Tre Roberson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020.0
Roy Robertson-Harris,,,,,,,,,O,IR,IR,IR,IR,,,,Bears,2020.0
Buster Skrine,Q,,,,,,Q,,,,Q,,,31.0,DB,4650000.0,Bears,2020.0
Jason Spriggs,Q,,,,,,Q,,C19,C19,,,,26.0,OT,825000.0,Bears,2020.0
Mitchell Trubisky,,,,,,,,,O,O,,,,26.0,QB,825000.0,Bears,2020.0
Brent Urban,,,,,,Q,,,,,,,,29.0,DE,910000.0,Bears,2020.0
Cody Whitehair,,,,,,,,O,C19,C19,,,,28.0,OG,1100000.0,Bears,2020.0
Alex Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2020.0
Taco Charlton,,,,,,,O,,,IR,IR,IR,IR,,,,Chiefs,2020.0
Frank Clark,,,,,,,,,Q,,,,,27.0,DE,12000000.0,Chiefs,2020.0
Michael Danna,,,,,O,IR,IR,IR,,,,,,23.0,DE,572941.0,Chiefs,2020.0
Laurent Duvernay-Tardif,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2020.0
Eric Fisher,,,,,,,,,,C19,,,,29.0,OT,8750000.0,Chiefs,2020.0
Chris Jones,,,,Q,,,,,C19,,,,,26.0,DT,16126000.0,Chiefs,2020.0
Lucas Niang,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2020.0
Dorian O'Daniel,,,Q,,,,,,,,,IR,IR,,,,Chiefs,2020.0
