Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Jarvis Jenkins,,,,,,,,,,,,,,,,Q,27.0,RDE,825000.0,Bears,2015
Shea McClellin,,,,,Q,D,D,Q,Q,Q,,,P,,D,Q,26.0,LILB,2629263.0,Bears,2015
Pernell McPhee,,Q,Q,,Q,Q,P,Q,Q,Q,Q,P,D,Q,Q,Q,27.0,ROLB,6675000.0,Bears,2015
Terrance Mitchell,,,,,,D,,,,,,,,,,,,,,Bears,2015
Will Montgomery,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2015
Ryan Mundy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2015
Pat O'Donnell,,,,Q,P,,,,,,,,,,,,,,,Bears,2015
Patrick Omameh,,,,,Q,Q,P,,,,,,,,,,26.0,RG,585000.0,Bears,2015
Senorise Perry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2015
Tracy Porter,O,O,Q,,,,,,Q,,,,Q,Q,Q,Q,29.0,LCB,585000.0,Bears,2015
Jacquizz Rodgers,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2015
Antrel Rolle,,,,,D,D,Q,,Q,IR,IR,IR,IR,IR,IR,IR,33.0,FS,5000000.0,Bears,2015
Eddie Royal,Q,,Q,,Q,Q,,O,O,O,O,Q,Q,,Q,D,29.0,WR,5500000.0,Bears,2015
Will Sutton,,,,Q,Q,Q,,,,,,,,Q,,,24.0,LDE,671517.0,Bears,2015
Cornelius Washington,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2015
Kevin White,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2015
Marquess Wilson,Q,,P,,,,,,,,,IR,O,IR,IR,IR,23.0,wr,596787.0,Bears,2015
Husain Abdullah,,P,,,,,P,,,,,O,O,O,O,Q,,,,Chiefs,2015
D.J. Alexander,,P,,,,,,,,,,,,,,,,,,Chiefs,2015
Allen Bailey,,,,,,,,,O,O,O,Q,P,,,,26.0,RDE,3231250.0,Chiefs,2015
Tyler Bray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2015
Jamaal Charles,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,29.0,rb,7970835.0,Chiefs,2015
Dustin Colquitt,,,,,,,,,,,,P,P,,,,,,,Chiefs,2015
Chase Daniel,,,,,,,,,,,,,,P,,,,,,Chiefs,2015
Mike DeVito,,,,,,,O,O,P,,P,P,O,P,,,31.0,LDE,2620000.0,Chiefs,2015
Paul Fanaika,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2015
Dee Ford,,,,,,,,,,,O,P,,,P,P,24.0,lolb,1854250.0,Chiefs,2015
Phillip Gaines,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2015
Richard Gordon,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2015
Ben Grubbs,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,31.0,LG,2400000.0,Chiefs,2015
Demetrius Harris,P,P,P,,,,,,,,,,,,,,24.0,TE,510000.0,Chiefs,2015
Justin Houston,,,,,,,P,,,,,O,O,O,O,Q,,,,Chiefs,2015
Justin March-Lillard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2015
Josh Mauga,P,P,P,P,O,O,Q,P,,,,P,,,,,28.0,RILB,1750000.0,Chiefs,2015
Mitch Morse,,,,,,,,,,,,O,P,,,,23.0,C,849649.0,Chiefs,2015
James O'Shaughnessy,,,,,P,P,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2015
Dontari Poe,P,P,,,,O,Q,P,,,,,,,,,25.0,NT,3601822.0,Chiefs,2015
Donald Stephenson,,,P,,,,,,,,,,,,,,27.0,lt,844375.0,Chiefs,2015
De'Anthony Thomas,P,P,P,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Chiefs,2015
Ramik Wilson,,,,,,,D,O,Q,Q,P,,,,,,,,,Chiefs,2015
Dez Bryant,P,O,O,O,O,D,Q,P,P,P,P,P,P,P,IR,IR,27.0,WR,7000000.0,Cowboys,2015
Brice Butler,,,,,O,P,P,Q,O,O,P,,,,,,,,,Cowboys,2015
Barry Church,,,,,,,Q,Q,P,P,P,,,,,IR,27.0,SS,3250000.0,Cowboys,2015
Morris Claiborne,,,,,,,P,,,O,O,P,,D,Q,Q,25.0,RCB,5175069.0,Cowboys,2015
La'el Collins,,,,,,,,,,,,,,,,D,22.0,LG,442000.0,Cowboys,2015
Lance Dunbar,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2015
Gavin Escobar,,,,,,,,,,,,,,,O,IR,,,,Cowboys,2015
Chaz Green,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2015
Randy Gregory,,O,O,O,O,P,,,,,,,,,,,,,,Cowboys,2015
Greg Hardy,,,,,,P,,,,,,,P,,,P,27.0,RDE,3041379.0,Cowboys,2015
